cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,mean_INSP_FLAG,product_index
-1,111295,0.6714589957224995,4376.93,16268.106495491502,5757.905000000001,28072.395097973433,3140.9947319997996,36051.90541387898,4.0,6.027835737071483,1.0,0.6508198930769576,0.0,0.22296599128442426,F,MID,Y,18404.124795373664,20586.946163247558,58332.09035335013,7093.8733107661665,90971.9409630241,0.4252615922404737,2100199700195.373,36868.055838670254,24.27569971696842,,1.3619428843446053
7,11502,0.0693932464962504,1155.29,2522.3833023134457,,,,,3.9,4.45378326665507,0.0,0.0,1.0,1.0,F,MID,N,,-27.975756351039248,23304.447137889063,3233.4570170405145,17465.131524081957,0.6272975832312917,2083.9773663671676,2522.3833023134457,18.408102938619372,,0.0
43,3590,0.02165899451587019,202.29000000000002,1416.4579972144847,419.355,417.86369637883007,197.2210526,202.7712145858109,3.8,5.7816434540389965,1.0,1.0075208913649025,0.0,0.03203342618384401,E,MID,Y,396.7898215511325,443.3911665565102,3659.8223903077924,681.6676719056973,8890.433350515144,0.0701214450437426,0.04592255778879018,1619.2292118002956,23.599721448467967,,2.108395768813271
6,2245,0.013544413005049744,-2456.24,-3688.95123830735,,,,,4.0,4.886369710467707,0.0,0.0,2.0,2.0,F,MID,N,,-169.21681188118816,35942.187429844096,4617.266195991091,34975.75219153451,0.6479248898375035,27.78942509354655,-3688.95123830735,15.995100222717149,,0.0
94,1526,0.009206580955771006,2346.74,2363.455773480663,,,,,2.0,2.0,0.0,0.0,0.0,0.0,F,MID,N,,-147.00505494505495,3302.7121270718235,719.8092127071823,2460.19725961533,0.2819868965103314,0.005696262728532109,1121.3250196592398,18.948885976408913,,0.0
113,1375,0.008295575893961423,0.0,0.017076363636363633,,,,,1.0,1.0,0.0,0.0,0.0,0.0,F,MID,N,,-1060.7583333333334,-0.018767843726521818,-0.037205108940646034,0.0,0.11084150702752665,0.0,0.017076363636363633,17.106181818181817,,0.0
102,1314,0.007927553981574771,2303.08,2303.594,,,,,1.0,1.0,0.0,0.0,0.0,0.0,F,MID,N,,236.69636363636363,3013.683222222223,642.6703333333334,6411.033796791443,0.04118559810159628,0.0007628418879597028,157.7804109589041,17.136986301369863,,0.0
56,1209,0.007294073640581354,257.25,445.8733498759305,,,,,6.0,6.002481389578164,0.0,0.0,0.0,0.0,F,MID,N,,-27.033362068965513,1239.5497504159732,272.907537437604,1166.1488235294116,0.2506841861495877,0.0034331167314158987,445.8733498759305,20.631927212572375,,0.0
29,1164,0.007022582065869889,251.625,1829.0014432989692,433.255,433.0046907216495,0.0,0.0,4.0,5.624226804123712,0.0,0.009450171821305841,0.0,0.07560137457044673,F,MID,N,-15.742253521126758,547.2320091743119,4906.823428571429,840.7634107142858,12784.280317459647,0.1933343547876632,0.1479935881404281,1829.0014432989692,21.538659793814432,,0.019775969365367074
81,952,0.005743555091673655,0.0,0.02454831932773109,,,,,0.0,0.0,0.0,0.0,0.0,0.0,F,MID,N,,-976.7834285714287,0.22343373493976054,0.0024939759036143793,0.0,0.10434878614192121,0.0,0.02454831932773109,17.182773109243698,,0.0
