cluster,A,A+,A-,B,C,D,E,F
-1,112,44,1027,1735,9620,17810,35132,45777
0,0,0,0,0,0,16,60,34
1,0,0,0,0,0,19,79,34
2,0,0,0,0,0,0,26,178
3,0,0,0,0,0,6,193,33
4,0,0,0,0,0,17,82,45
5,0,0,0,0,0,0,0,187
6,0,0,0,0,0,0,0,2245
7,0,0,0,0,0,0,722,10780
8,0,0,0,0,0,3,233,141
9,0,0,0,0,0,13,107,76
10,0,0,0,0,0,1,205,65
11,0,0,0,0,0,23,253,165
12,0,0,0,0,0,1,47,81
13,0,0,0,0,0,3,107,135
14,0,0,0,0,0,6,47,60
15,0,0,0,0,0,4,181,196
16,0,0,0,0,0,17,196,234
17,0,0,0,0,0,0,56,78
18,0,0,0,0,0,1,102,148
19,0,0,0,0,0,5,146,259
20,0,0,0,0,0,3,45,107
21,0,0,0,0,0,3,49,138
22,0,0,0,0,0,1,42,242
23,0,0,0,0,0,2,41,120
24,0,0,0,0,0,2,50,111
25,0,0,0,0,0,0,61,153
26,0,0,0,0,0,1,33,120
27,0,0,0,0,0,44,295,449
28,0,0,0,0,0,2,42,81
29,0,0,0,0,0,8,325,831
30,0,0,0,0,0,7,84,93
31,0,0,0,0,0,0,88,17
32,0,0,0,0,0,0,142,18
33,0,0,0,0,0,0,109,11
34,0,0,0,0,0,0,131,27
35,0,0,0,0,0,0,144,56
36,0,0,0,0,0,0,166,39
37,0,0,0,0,0,0,372,64
38,0,0,0,0,0,0,59,46
39,0,0,0,0,0,0,394,38
40,0,0,0,0,0,2,26,183
41,0,0,0,0,0,2,111,66
42,0,0,0,0,0,6,155,123
43,0,0,0,0,0,122,2278,1189
44,0,0,0,0,0,0,69,80
45,0,0,0,0,0,0,447,65
46,0,0,0,0,0,0,0,875
47,0,0,0,0,0,0,61,103
48,0,0,0,0,0,0,474,268
49,0,0,0,0,0,0,0,185
50,0,0,0,0,0,0,0,912
51,0,0,0,0,0,0,0,244
52,0,0,0,0,0,0,0,747
53,0,0,0,0,0,0,0,276
54,0,0,0,0,0,0,0,934
55,0,0,0,0,0,0,0,301
56,0,0,0,0,0,0,0,1289
57,0,0,0,0,0,0,0,155
58,0,0,0,0,0,0,0,308
59,0,0,0,0,0,0,0,267
60,0,0,0,0,0,0,0,292
61,0,0,0,0,0,0,0,460
62,0,0,0,0,0,0,0,227
63,0,0,0,0,0,0,0,361
64,0,0,0,0,0,0,0,415
65,0,0,0,0,0,0,0,148
66,0,0,0,0,0,0,0,314
67,0,0,0,0,0,0,0,376
68,0,0,0,0,0,0,0,398
69,0,0,0,0,0,0,0,211
70,0,0,0,0,0,0,0,208
71,0,0,0,0,0,0,0,574
72,0,0,0,0,0,0,0,154
73,0,0,0,0,0,0,0,112
74,0,0,0,0,0,0,0,402
75,0,0,0,0,0,0,0,158
76,0,0,0,0,0,0,0,230
77,0,0,0,0,0,0,0,405
78,0,0,0,0,0,0,0,142
79,0,0,0,0,0,0,0,161
80,0,0,0,0,0,0,0,953
81,0,0,0,0,0,0,0,204
82,0,0,0,0,0,0,0,204
83,0,0,0,0,0,0,0,212
84,0,0,0,0,0,0,0,413
85,0,0,0,0,0,0,0,560
86,0,0,0,0,0,0,0,346
87,0,0,0,0,0,0,0,130
88,0,0,0,0,0,0,0,162
89,0,0,0,0,0,0,0,167
90,0,0,0,0,0,0,0,112
91,0,0,0,0,0,0,0,287
92,0,0,0,0,0,0,0,1525
93,0,0,0,0,0,0,0,356
94,0,0,0,0,0,0,0,160
95,0,0,0,0,0,0,0,193
96,0,0,0,0,0,0,0,645
97,0,0,0,0,0,0,0,399
98,0,0,0,0,0,0,0,133
99,0,0,0,0,0,0,0,133
100,0,0,0,0,0,0,0,1314
101,0,0,0,0,0,0,0,146
102,0,0,0,0,0,0,0,172
103,0,0,0,0,0,0,0,119
104,0,0,0,0,0,0,0,122
105,0,0,0,0,0,0,0,198
106,0,0,0,0,0,0,0,145
107,0,0,0,0,0,0,0,267
108,0,0,0,0,0,0,0,119
109,0,0,0,0,0,0,0,119
110,0,0,0,0,0,0,0,147
111,0,0,0,0,0,0,0,1375
112,0,0,0,0,0,0,0,167
113,0,0,0,0,0,0,0,179
114,0,0,0,0,0,0,0,410
115,0,0,0,0,0,0,0,148
116,0,0,0,0,0,0,0,114
117,0,0,0,0,0,0,0,211
